Team,Item Name,Start Date,End Date,Months,Project ID,Item ID
Interconnection,"SGIA
  Securitization",2025-11-01,2025-11-30,1,JP0135,I001
Interconnection,"Inverter Firm
  Up Date",2026-03-01,2026-03-17,1,JP0135,I002
Interconnection,"QSA Submittal
  Deadline",2026-09-01,2026-09-17,1,JP0135,I003
Interconnection,ISD - TSP,2027-04-15,2027-05-01,1,JP0135,I004
Procurement,"Breaker
  Procurement",2025-10-01,2027-08-01,23,JP0135,I005
Procurement,"MPT
  Procurement",2025-08-01,2027-08-01,25,JP0135,I006
Procurement,"Battery
  Procurement",2026-09-01,2027-06-01,10,JP0135,I007
Procurement,"PCS
  Procurement",2026-09-01,2027-06-01,10,JP0135,I008
Construction,"EPC Agreement
  Execution",2025-08-01,2025-12-01,5,JP0135,I009
Construction,"Construction
  Preparation",2025-12-01,2026-06-01,7,JP0135,I010
Construction,Construction,2026-06-01,2027-06-01,13,JP0135,I011
Construction,COD,2027-06-01,2027-12-01,7,JP0135,I012
Interconnection,"SGIA
  Securitization",2025-09-15,2025-10-01,1,JP0126,I026
Interconnection,"Inverter Firm
  Up Date",2027-03-01,2027-03-17,1,JP0126,I027
Interconnection,"QSA Submittal
  Deadline",2027-09-01,2027-09-17,1,JP0126,I028
Interconnection,ISD - TSP,2028-04-01,2028-04-15,1,JP0126,I029
Procurement,"Breaker
  Procurement",2025-06-01,2028-03-01,34,JP0126,I030
Procurement,"MPT
  Procurement",2025-05-15,2028-03-01,35,JP0126,I031
Procurement,"Battery
  Procurement",2027-03-17,2028-01-17,11,JP0126,I032
Procurement,"PCS
  Procurement",2027-03-17,2028-01-17,11,JP0126,I033
Construction,"EPC Agreement
  Execution",2026-07-01,2026-11-01,5,JP0126,I034
Construction,"Construction
  Preparation",2026-11-01,2027-05-01,7,JP0126,I035
Construction,Construction,2027-05-01,2028-02-01,10,JP0126,I036
Construction,COD,2028-02-01,2028-06-01,5,JP0126,I037
Interconnection,"SGIA
  Securitization",2025-09-15,2025-10-01,1,JP0098,I038
Interconnection,"Inverter Firm
  Up Date",2027-03-01,2027-03-17,1,JP0098,I039
Interconnection,"QSA Submittal
  Deadline",2027-09-01,2027-09-17,1,JP0098,I040
Interconnection,ISD - TSP,2028-04-01,2028-04-15,1,JP0098,I041
Procurement,"Breaker
  Procurement",2025-06-01,2028-03-01,34,JP0098,I042
Procurement,"MPT
  Procurement",2025-05-15,2028-03-01,35,JP0098,I043
Procurement,"Battery
  Procurement",2027-03-17,2028-01-17,11,JP0098,I044
Procurement,"PCS
  Procurement",2027-03-17,2028-01-17,11,JP0098,I045
Construction,"EPC Agreement
  Execution",2026-07-01,2026-11-01,5,JP0098,I046
Construction,"Construction
  Preparation",2026-11-01,2027-05-01,7,JP0098,I047
Construction,Construction,2027-05-01,2028-02-01,10,JP0098,I048
Construction,COD,2028-02-01,2028-06-01,5,JP0098,I049
Development,"Notice
  of Local Public Hearing",2024-11-29,2025-02-27,4,JP0018.1,I050
Development,"Local
  Compatible Ordinance?",2025-02-27,2025-03-29,2,JP0018.1,I051
Development,"MPSC
  Certificate Application",2025-03-29,2025-05-28,3,JP0018.1,I052
Development,"MPSC
  Certificate Application Review",2025-05-28,2026-05-28,13,JP0018.1,I053
Development,"County Storm
  Water Mgmt Approval",2026-03-01,2026-04-30,3,JP0018.1,I054
Development,SESC Permit,2026-04-01,2026-05-01,2,JP0018.1,I055
Development,EGLE NPDES,2025-05-01,2025-07-30,4,JP0018.1,I056
Development,"Building
  Permit",2026-05-28,2026-08-26,4,JP0018.1,I057
Development,"Electrical
  Permit",2026-05-28,2026-08-26,4,JP0018.1,I058
Development,"Mechanical
  Permit",2026-05-28,2026-08-26,4,JP0018.1,I059
Development,"Fire Marshal
  Approval",2025-05-01,2025-07-30,4,JP0018.1,I060
Interconnection,SGIA Executed,2023-05-05,2023-05-26,1,JP0018.1,I061
Interconnection,Cash Payment 3,2023-06-01,2024-10-01,17,JP0018.1,I013
Interconnection,"Material
  Modification",2026-09-04,2026-09-04,1,JP0018.1,I014
Interconnection,"Request TSR
  for Charging",2026-09-04,2026-09-04,1,JP0018.1,I015
Interconnection,FERC EWG/M,2027-02-01,2027-02-01,1,JP0018.1,I016
Interconnection,ISD,2027-04-02,2027-04-02,1,JP0018.1,I017
Procurement,"Breaker
  Procurement",2025-04-01,2027-02-01,23,JP0018.1,I018
Procurement,"MPT
  Procurement",2025-02-01,2027-02-01,25,JP0018.1,I019
Procurement,"PCS
  Procurement",2026-01-01,2027-01-01,13,JP0018.1,I020
Procurement,"Battery
  Procurement",2026-03-01,2026-12-01,10,JP0018.1,I021
Construction,"EPC Agreement
  Execution",2025-01-01,2025-07-01,7,JP0018.1,I022
Construction,"Construction
  Preparation",2025-07-01,2025-09-01,3,JP0018.1,I023
Construction,Construction,2025-09-01,2026-12-01,16,JP0018.1,I024
Construction,COD,2026-12-01,2027-06-01,7,JP0018.1,I025
Interconnection,"SGIA
  Securitization",2025-11-01,2025-11-30,1,JP0136,I001
Interconnection,"Inverter Firm
  Up Date",2026-03-01,2026-03-17,1,JP0136,I002
